Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Translation (GO:0006412),199/234,8.652288122368046e-49,4.565812442173618e-45,0,0,9.183805239481345,1016.3611254271676,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPL21;RPL22;MRPS18B;MRPS18A;GTPBP2;MRPS18C;LARS2;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;MRPL11;MRPL20;RPL41;MRPL27;MRPL28;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;FARSB;RPS23;MRPS17;HBS1L;MRPS15;MRPS16;FASTKD2;GFM2;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;FARS2;MRPL33;MRPL41;MRPL42;MRPL40;MTG1;RACK1;RPLP2;MRPS28;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;PABPC4;MRPS23;MRPL49;MRPS2;MRPS21;MRPL47;MRPL48;MRPL45;MRPS7;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPL52;MRPL53;MRPL50;MRPS9;MRPL51;MRRF;RPL10;MRPS33;RPL12;MRPS34;RPL11;MRPS31;MRPL58;MRPS30;MRPL57;MRPL54;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;GATC;GATB;RPL22L1;FAU;APEH;RPL10A;YARS2;EEF1B2;CHCHD1;RARS2;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;TUFM;EEF1A1;DAP3;EIF4EBP2;ZC3H15;EEF2;COPS5;EIF4G1;MRPL4;RPS4X;MRPL3;RPL7A;MRPL2;EEF2K;MRPL1;MRPL9;EIF5A;TSFM;DHPS;RPL13A;QRSL1;EEF1G;EEF1D;RPL37A;ETF1;RRBP1;IARS2;ABCF1;GADD45GIP1;PTCD3;RWDD1;NDUFA7;RPL35A;RPL23A;TNIP1;RPS6KB2;DRG1;DRG2;ABCE1
GO_Biological_Process_2023,Gene Expression (GO:0010467),227/296,9.31497201258114e-41,2.457755365519534e-37,0,0,5.318817483688434,490.2586284354644,RPL4;RPL5;RPL30;NUP107;RPL3;RPL32;RPL31;RPL34;EIF4A3;HNRNPU;RPL8;RPL9;RPL6;RPL7;GLE1;RPS15;RPS14;ALKBH5;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;MAGOH;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;DDX17;NUP214;RPL21;RPL22;MRPS18B;DNTTIP2;MRPS18A;MRPS18C;DDX39B;SARNP;XRN2;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;DEDD2;MRPL11;NUP85;TSPAN5;NUP88;RPL41;MRPL27;MRPL28;MAGOHB;MRPL23;MRPL24;HNRNPL;RPS26;SETX;RPS25;RPS28;HNRNPK;RPS27;RPS29;HNRNPF;RPL27A;AGO2;HNRNPD;RPS20;RPS21;RPS24;FARSB;RPS23;MRPS17;HBS1L;MRPS15;SMG1;MRPS16;FASTKD2;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;SMG7;MRPL35;SMG5;SMG6;MRPL41;MRPL42;SYNCRIP;XPO1;RPLP2;UPF2;UPF1;PABPC4;MRPS21;MRPS7;MRPS6;MRPL43;MRPS5;MRPL52;MRPL51;HNRNPH1;HNRNPH3;MRRF;FYTTD1;RNASEL;RPL10;MRPS33;RPL12;RPL11;MRPL55;EXOSC7;EXOSC5;EXOSC4;RPS15A;EXOSC9;RPL14;RPS3;RPL13;RPL15;RPS2;EXOSC3;RPL18;RPS27A;RAE1;RPL17;RPL19;HNRNPA2B1;FAU;FMR1;CASC3;RPL10A;YARS2;ENPP1;KPNA4;TGM2;RPS9;RPS7;RPS8;RPS5;RPS6;RPSA;THOC3;THOC2;THOC7;THOC6;EEF1A1;PRPF4;HNRNPUL1;DNAJB11;SRSF3;RBM8A;YTHDC1;TPR;EIF4EBP2;CHTOP;RBPMS;ALYREF;COPS5;EIF4G1;NXT1;ADAR;NXT2;CASP9;DUSP11;RBM3;RPS4X;MRPL3;RPL7A;CASP7;CASP8;CASP3;CASP4;CASP1;MRPL9;RBM5;RBM6;NCBP1;NCBP2;ABCC6;DHPS;DDX54;RPL13A;TFIP11;RPL37A;RBMS1;NCBP3;FURIN;RRBP1;LMF2;HSPD1;LMF1;NXF1;ABCF1;MBTPS1;RBM39;RNGTT;GALNT2;GZMA;RPL35A;RPL23A;SORL1;TSPAN15;GOLPH3;MCM3AP;SNRNP40;TSPAN14;TNIP1;RPS6KB2;STUB1;MBTPS2
GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),266/367,8.084351452362578e-40,1.4220374204705774e-36,0,0,4.268848030177467,384.25383880985095,CBLC;KEAP1;UBE2L6;CCAR1;UBE2L3;PSMD8;HERC4;PSMD9;NUB1;PSMD6;RNF115;PSMD7;RNF114;PSMD4;PSMD2;PSMD3;PSMD1;TRIM25;FBXO8;RNF111;FBXO9;NHLRC3;ARRDC1;RC3H1;ARMC8;RC3H2;RNF126;CDC34;IFI27;RNF128;WDR81;KCTD10;DDIT3;RBCK1;CLOCK;VPS28;NEDD4L;AGAP3;ANAPC11;RNF213;RNF216;PCBP2;PSMF1;NDFIP2;XBP1;ZRANB1;NDFIP1;SIAH2;NTAN1;NPLOC4;TOLLIP;FBXL4;UBXN1;PPP1R11;FAF1;TGFB1I1;ZFAND2B;OTUD7B;HERPUD1;ANKRD9;CHMP1B;TRIM2;CHMP1A;ARIH2;UFD1;ARIH1;ELOC;UBL7;SIRT1;SIRT2;DDB1;PSMA5;PSMA6;RNF167;PSMA3;PSMA4;PSMA1;PSMA2;PELI1;RNF166;WDR26;NEDD8;DCST1;PSMA7;PCNP;PSMB6;PSMB7;PSMB4;SH3BGRL;PSMB5;OS9;PSMB2;PSMB3;PSMB1;SPOP;ZSWIM8;TBL1X;RNF130;UBL4A;ANKIB1;CRBN;CSNK1A1;USP9X;SYVN1;WWP1;UBE2G1;WWP2;UBE2G2;MIB1;RNF146;SPSB3;SPSB2;ITCH;PSMC5;SPSB1;GID4;PSMC6;PSMC3;PSMC4;NEDD4;PSMC1;GID8;PSMC2;TTC3;RLIM;CTNNB1;UBAP1;TRIP12;KBTBD7;UBE3C;UBE2D3;RNF19B;UBE3B;FBXO22;MAEA;RNF19A;MYLIP;RNF43;AREL1;FBXW5;FBXW11;FBXW7;UBE2E1;UBE4A;KCTD2;UBE4B;FBXO11;KCTD5;TRPC4AP;KCTD6;RNF40;RBX1;TOM1L1;TBL1XR1;CHMP4C;PLAA;SQSTM1;PSMD12;VCP;PSMD11;TSG101;PSMD14;PSMD13;CUL3;CUL1;RHOBTB3;UBR4;UBR3;BAG6;COP1;NAE1;KLHDC2;KLHDC3;UBE2H;UBE2I;UBE2B;UBE2C;KLHL22;BFAR;UBE2A;COPS3;NSFL1C;UBE2W;APPBP2;UBE2S;CHMP2B;CHMP2A;MDM2;MKRN2;UBA1;RNF186;RNF185;UBE2K;NFE2L2;RNF187;GSK3B;GSK3A;RNF11;RNF13;RNF14;USP33;ARRB1;ARRB2;PTPN23;TNFAIP1;GET4;DTX3L;AXIN1;VPS37C;RAD23A;VPS37A;AXIN2;PPP2R5C;VPS37B;RAD23B;PJA2;UBE2R2;CHMP3;SPOPL;CHMP6;CHMP7;BIRC2;CHMP5;RNF34;UHRF1;VPS4B;VPS4A;RNF8;RNF6;AMBRA1;RNF7;CBL;RCHY1;RNF4;RNF5;RMND5B;ZNRF1;ZNRF2;HECTD1;MTA1;RMND5A;HECTD3;MARVELD3;MVB12A;RBBP6;DCAF11;RFFL;UBQLN4;RNF20;FEM1A;FEM1B;AMFR;FBXL19;RNF26;FBXL14;CHFR;PML;CUL4A;PINK1;APC;LNX1;STUB1;ASB2;TRIM31;TRIM32;TAF1
GO_Biological_Process_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),232/319,2.9880745680723935e-35,3.942017373929505e-32,0,0,4.307774086378737,342.4501584346608,CDC20;PSMD8;PSMD6;PSMD7;PSMD4;CDC26;PSMD2;CDC27;PSMD3;FBXO4;FBXO3;PSMD1;TRIM25;FBXO6;FBXO9;NHLRC3;ARMC8;RNF126;CDC34;IFI27;KCTD10;DDIT3;RBCK1;CLOCK;RNF121;ANAPC13;ANAPC15;ANAPC16;NEDD4L;AGAP3;UBE2J2;ANAPC10;ANAPC11;UBE2J1;RNF216;PCBP2;EDEM1;SIAH2;ERLIN1;TRIP4;ERLIN2;FBXL8;NPLOC4;RNF103;CDC16;FBXL3;CALR;FBXL5;FBXL4;UBXN1;FAF1;FAF2;ZFAND2B;HERPUD1;ANKRD9;TRIM2;UBXN8;UFD1;SEC61B;UBXN4;SIRT1;SIRT2;DDB1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;CANX;PELI1;WDR26;DMAC2;DERL3;DERL1;DERL2;PSMA7;ECPAS;PCNP;PSMB6;AMN1;PSMB7;PSMB4;SH3BGRL;PSMB5;OS9;PSMB2;PSMB3;PSMB1;SPOP;ZSWIM8;TBL1X;CRBN;CSNK1A1;SYVN1;TMUB1;WWP1;UBE2G1;WWP2;UBE2G2;TMUB2;SPSB3;SPSB2;ITCH;PSMC5;SPSB1;GID4;PSMC6;PSMC3;PSMC4;JKAMP;PSMC1;GID8;PSMC2;CTNNB1;TRIP12;KBTBD7;UBE2D3;LTN1;AUP1;MAEA;FBXW5;ANAPC7;FBXW11;FBXW7;UBE4A;KCTD2;UBE4B;KCTD5;TRPC4AP;RBX1;SELENOS;TBL1XR1;ANAPC4;PLAA;ANAPC5;FAM8A1;ANAPC1;ANAPC2;PSMD12;VCP;PSMD11;CUL5;PSMD14;PSMD13;CUL3;CUL2;SEL1L;CUL1;RHOBTB3;UBR3;UBR2;HSP90B1;BAG6;COP1;TMEM129;ANKZF1;KLHDC10;KLHDC2;AKIRIN2;KLHDC3;HSPA5;UBE2B;RHBDD2;UBE2C;WFS1;FBXO38;KLHL22;BFAR;UBE2A;NSFL1C;UBE2W;APPBP2;UBE2S;DNAJC10;MDM2;STT3B;RNF186;RNF185;UBE2K;NFE2L2;RNF187;GSK3B;RNF10;GSK3A;ARRB1;ARRB2;TNFAIP1;AXIN1;RAD23A;AXIN2;PPP2R5C;RAD23B;PJA2;NEMF;SPOPL;MAN1B1;BIRC2;RNF34;AMBRA1;RNF4;RNF5;USP19;RMND5B;ERLEC1;ZNRF1;FZR1;ZNRF2;HECTD1;MTA1;RMND5A;HECTD3;UBQLN1;DNAJB9;ASCC2;ASCC3;DCAF11;RFFL;DCAF12;FEM1A;FEM1B;AMFR;FBXL19;SGTA;FBXL15;FBXL14;PML;CUL4A;APC;STUB1;ASB2;TAF1
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),97/103,6.990349716217379e-33,7.377615090495822e-30,0,0,25.826566579634463,1912.2190692694207,CHCHD1;RARS2;MRPS18B;MRPS18A;POLRMT;MRPS18C;LARS2;TFAM;DAP3;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;FOXO3;MRPL12;MRPL13;MRPL10;MRPL11;MRPL20;MTERF3;MRPL27;MRPL28;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30;MRPS17;MRPS15;MRPS16;FASTKD2;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL33;MRPL4;MRPL41;MRPL3;MRPL42;MRPL2;MRPL1;MRPL40;MTG1;FASTK;MRPL9;MRPS28;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS23;TWNK;MRPL49;MRPS2;MRPS21;MRPL47;MRPL48;TFB2M;MRPL45;MRPS7;QRSL1;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPL52;MRPL53;MRPL50;MRPS9;MRPL51;MRPS33;MRPS34;MRPS31;MRPL58;MRPS30;MRPL57;MRPL54;MRPL55;TBRG4;IARS2;GADD45GIP1;PTCD3;NDUFA7;GATC;GATB;SLC25A33
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),149/183,1.91591127169228e-32,1.6850439634533604e-29,0,0,7.032616595534113,513.6097797243025,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;YARS2;RPL6;RPL7;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;GTPBP2;MRPS18C;TUFM;EEF1A1;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;MRPL11;ST3GAL4;EIF4EBP2;APOE;RPL41;MRPL27;MRPL28;EEF2;MRPL23;MRPL24;EXT1;RPS26;EXT2;RPS25;RPS28;COPS5;RPS27;B4GAT1;COL5A1;RPS29;RPL27A;AGO2;RPS20;RPS21;EIF4G2;RPS24;EIF4G1;FARSB;RPS23;MRPS17;HBS1L;MRPS15;ALAS1;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;MRPL35;MRPL41;RPS4X;MRPL3;MRPL42;RPL7A;EEF2K;RPLP2;MRPL9;GAL3ST2;EIF5A;TSFM;PABPC4;DHPS;MRPS21;RPL13A;MRPS7;MRPS6;MRPL43;MRPS5;EEF1G;MRPL52;MRPL51;EEF1D;RPL37A;MRRF;B4GALT5;RPL10;MRPS33;RPL12;RPL11;RRBP1;MRPL55;POLD3;RPS15A;POLD2;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ABCF1;RPL19;RPL35A;RPL23A;GOLPH3;TNIP1;RPS6KB2;FAU
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),93/98,2.4435278075899674e-32,1.8420708915217518e-29,0,0,29.700782881002088,2161.8986060347256,MRPS17;GFM1;MRPS15;MRPS16;FASTKD2;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL33;MRPL4;MRPL41;MRPL3;MRPL42;MRPL2;MRPL1;MRPL40;MTG1;MRPL9;CHCHD1;EARS2;RARS2;MRPS28;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS23;MRPS18B;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPL48;MRPL45;MRPS7;QRSL1;MRPL46;MRPS6;MRPL43;MRPS5;MRPS18C;TUFM;MRPL44;MRPL52;LARS2;MRPL53;MRPL50;MRPS9;MRPL51;DAP3;MRPL18;MRPS33;MRPL19;MRPS34;MRPL16;MRPS31;MRPL17;MRPL14;MRPL58;MRPS30;MTIF3;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;IARS2;GADD45GIP1;PTCD3;NDUFA7;MRPL27;GATC;MRPL28;GATB;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),131/158,3.1565229396718775e-30,2.082121444081062e-27,0,0,7.77212460296646,527.9455150407334,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10A;RPL8;RPL9;YARS2;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;GGT1;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;RPSA;MRPS18C;EEF1A1;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;MRPL10;MRPL11;EIF4EBP2;GGT5;RPL41;GGT6;MRPL27;MRPL28;MRPL23;MRPL24;RPS26;RPS25;RPS28;COPS5;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;EIF4G1;FARSB;RPS23;MRPS17;HBS1L;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL36;MRPL37;MRPL34;MRPL35;PCSK5;MRPL41;RPS4X;MRPL3;MRPL42;RPL7A;RPLP2;MRPL9;PABPC4;DHPS;MRPS21;RPL13A;MRPS7;MRPS6;MRPL43;MRPS5;MRPL52;MRPL51;RPL37A;MRRF;RPL10;MRPS33;RPL12;RPL11;FURIN;RRBP1;MRPL55;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;TNIP1;RPS6KB2;FAU
GO_Biological_Process_2023,Golgi Vesicle Transport (GO:0048193),153/197,5.970538428031286e-29,3.500725698302344e-26,0,0,5.578544187269858,362.53915811391806,KDELR1;PITPNB;PDCD6;GCC2;GOLGA2;RAB43;GOLGA4;GOLGA5;TFG;TRAPPC12;TRAPPC11;TRAPPC13;NSF;RAB2A;GABARAPL2;COG8;COG7;TRAPPC2L;COG6;COG5;COG3;COG2;GOLPH3L;COG1;SCAMP1;SCAMP3;NRBP1;SCAMP2;RINT1;TBC1D20;ZW10;KDELR2;PREB;KDELR3;MPPE1;PLPP3;COPB2;COPA;TMED10;SAR1A;SAR1B;PEF1;COPB1;CUL3;TEX261;KLHL12;SNX3;SCFD1;SNX1;SNX2;SPAST;VTI1A;TBC1D14;RAB6A;SEC31A;VTI1B;SEC16B;TRAPPC3;TRAPPC1;SEC16A;TRAPPC4;SURF4;TRAPPC5;MYO5A;TRAPPC8;TRAPPC9;TMEM115;SPIRE2;HYOU1;CNIH4;COPE;ARF3;ARF4;SNAP23;SNX12;MIA2;MIA3;IER3IP1;USE1;TMED3;MYO18A;KIF1C;TMED2;TMED1;TMED7;RAB8A;TMED5;RAB8B;TMED4;TMED9;COPZ1;RAB33B;DNM2;TAPBP;TRAPPC6A;VAMP7;RER1;RP2;TRAPPC6B;PICK1;EXOC5;ERGIC3;SEC22B;ERGIC2;SEC22A;ARF5;ERGIC1;SEC22C;NAPA;RAB1A;NBAS;ATL3;GOSR2;RAB1B;ATL2;STX18;USO1;GOSR1;HTT;NAPG;CYTH3;LMAN1;VPS51;LMAN2;BNIP1;YKT6;ATP9B;ATP9A;BCAP31;SEC24B;SEC24A;TRAPPC10;YIPF4;GBF1;YIPF5;SORL1;YIF1A;ARCN1;YIF1B;RABIF;GOLPH3;VAPA;VAPB;RAB12;SGSM2;TRIP11;RANGRF;COPG2;GOPC;COPG1;SEC24D;SEC24C;BET1
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),86/93,1.0423160087135192e-27,5.500301577981242e-25,0,0,19.596923478034157,1217.5245666657977,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;ETF1;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;ZC3H15;RPL19;RWDD1;RPL41;RPL35A;RPL23A;RPS26;RPS25;EIF3M;RPS28;RPS27;RPS29;EIF3I;RPL27A;DRG2;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,mRNA Processing (GO:0006397),160/214,6.350782276066459e-27,3.046643460982064e-24,0,0,4.753923332309538,286.76245287355835,TCERG1;RAMAC;EIF4A3;HNRNPU;HNRNPR;WDR83;CASC3;EFTUD2;PNN;ALKBH5;SNRPD2;SNRPD1;MAGOH;CWC22;PAPOLA;SNIP1;MTREX;SNRPD3;PRKACA;TXNL4A;CMTR1;SRRM2;AQR;IK;SNRPN;SCAF11;PRPF4B;CRNKL1;FBXO11;CDC40;SRRM1;PRPF4;PRPF6;DDX39B;SNRPG;SRSF2;PPIE;SNRNP27;SRSF3;PPIH;SNRPE;SRSF4;GEMIN7;SNRPF;SRSF5;SNRNP200;SRSF6;SRSF7;SNRPA;SNRPB;SRSF9;ZCCHC8;DDX5;RBM8A;YTHDC1;CWF19L2;SNU13;HTATSF1;PRPF8;ZMAT2;DHX35;DHX38;RPRD1B;PPARGC1A;RBM10;HEXIM1;HSPA8;CPSF7;PRPF38A;CPSF6;ALYREF;CPSF3;CWC15;MAGOHB;LSM5;LSM4;LSM3;LSM2;SMU1;HNRNPM;LSM8;LSM7;HNRNPK;SNW1;LSM6;SON;HNRNPF;PIN1;RNPS1;HNRNPC;ISY1;DDX46;CELF1;DDX41;PRPF19;USP39;SYNCRIP;SART1;SART3;SNRNP70;DHX15;DHX16;BCAS2;RBM5;RBM6;RBM14;NCBP1;NCBP2;BUD31;PRPF40A;TFIP11;KIN;SFPQ;PRPF18;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;CACTIN;RBM22;SF3B4;SF3B5;SF3B2;SF3B3;RNMT;SF3B6;SRSF1;WBP4;U2AF1;TBRG4;U2AF1L4;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;HNRNPA1;SF3B1;SRSF10;HNRNPA0;SF3A3;SF3A1;HNRNPA3;PPIL1;SF3A2;RNGTT;GPKOW;CDC5L;RPRD2;NUDT21;SNRNP40;PHF5A;HNRNPA2B1;RBM42;PRPF31;PPIL3;RBMX;FRA10AC1
GO_Biological_Process_2023,Intracellular Protein Transport (GO:0006886),218/325,2.4873601013506366e-25,1.0938166045689424e-22,0,0,3.279703175884156,185.80635353974756,IPO13;VPS29;IPO11;NUP107;PHB2;HERC2;AKT2;AKT1;ARFIP2;FAM53B;ARFIP1;EIF2D;FAM53A;VPS35;AP1S3;SIL1;VPS36;WLS;NUP214;COG7;CDC37;RABL3;PREB;NUP98;VPS28;POM121;SAR1A;STXBP3;SAR1B;STXBP2;VPS26C;VPS26A;PTTG1IP;VPS26B;GABARAP;SCFD1;SNX1;GRPEL1;NUP85;GRPEL2;MYO6;NUP88;SNX9;SEC31A;SNX6;CTSA;ACD;SYNRG;SURF4;SNF8;STAM;EHD1;GIPC1;CALR;ARF3;RPAIN;ARF4;ARF1;C2CD5;PPP1R10;CLTC;SNX13;AP2A1;RAB22A;XPO1;XPO6;KIF13A;KIF13B;TMED3;TMED2;TMED1;TMED7;TMED5;APPL1;TMED4;SEC13;TMED9;SYK;STRADB;TIMM23;AP3B1;TIMM21;COPZ1;CTTN;PICK1;ARHGEF2;ARF5;ARF6;NAPA;STX12;STX16;RPL11;USO1;NAPG;TRAK2;ARFRP1;GGA1;LMAN1;SNX27;STX6;STX3;CD74;NPM1;RANBP3;STAT3;AP3D1;LAPTM5;XPO7;ARCN1;SEC23IP;SNX17;APEX1;SNX15;RAB3GAP2;UBAP1;NUP188;CSE1L;PDCD6;HIKESHI;IPO7;IPO4;IPO5;RAB43;EIF4ENIF1;IPO8;LAMP2;KPNA6;CHP1;KPNA4;KPNA3;KPNA1;NSF;APLP2;STX8;VPS33A;PAM16;STX7;TSC2;FAM91A1;RAB32;OXA1L;RAB31;HGS;RAB35;ERP29;PHIP;STAM2;KPNB1;COPB2;COPA;RAB5B;RAB5C;TMED10;TSG101;ARL1;STK3;TIMM50;BAG3;TPR;TBC1D13;AP4S1;RAB6A;AP1M2;DNAJC19;HSPA9;AKIRIN2;SEC16A;ASPSCR1;HPS4;NUP153;TIMM44;DNAJC15;AP4B1;CAMSAP3;IFT22;BCL3;RAB5A;NXT1;PTPN23;NXT2;MAIP1;NUP62;TIMM17A;TIMM17B;TLK1;TNPO1;ARL5A;TNPO2;TNPO3;YWHAH;ATP6AP1;DESI1;VPS37C;VPS37A;VPS37B;ARFGAP3;ARL4D;ARL4A;NUP50;RAB1A;UNC93B1;RAB1B;KATNB1;RAB21;RAB20;RAB24;MVB12A;E2F3;ROMO1;RAB28;SORL1;RAB14;RAB18;RANGRF;VIPAS39;RAB17;VPS45;RAN
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),77/85,1.756581878632909e-23,6.939237636208261e-21,0,0,15.333577473958334,803.4194644463353,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;ETFA;ETFB;MTFR1L;COX6A1;COX7C;CHCHD5;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHA;SDHB;COX6B1;SIRT3;OXA1L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;MTFR1;NDUFS1;SDHAF4;UQCRC2;SLC25A13;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX15;NDUFB11;NDUFB5;NDUFB4;NDUFB3;ETFDH;NDUFB2;COX7A2;UQCR11;UQCR10;COX5B;COX5A;MTLN;UQCRH;BLOC1S1;ETFRF1;CYC1;NDUFV3;NDUFV2;NDUFV1;PPARGC1A;NDUFA9;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA5;MDH2;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
